src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
5,25,303,4.203,2018,487,6.443,184,2.2399999999999993,60.726072607260726,53.29526528669996
5,26,270,3.377,2018,259,3.35,-11,-0.02699999999999969,-4.074074074074074,-0.7995262066923213
5,27,382,4.956,2018,200,2.593,-182,-2.3630000000000004,-47.64397905759162,-47.67958030669895
5,28,550,6.854,2018,508,6.824,-42,-0.03000000000000025,-7.636363636363637,-0.43770061278086153
5,29,320,3.8,2018,428,6.244,108,2.444,33.75,64.31578947368422
5,30,715,9.327,2018,529,6.831,-186,-2.4959999999999996,-26.013986013986013,-26.761016403988414
5,31,463,6.194,2018,274,3.698,-189,-2.496,-40.8207343412527,-40.29706167258637
5,32,425,6.463,2018,421,6.378,-4,-0.08499999999999996,-0.9411764705882352,-1.3151787095775949
5,33,560,7.015,2018,401,5.449,-159,-1.5659999999999998,-28.392857142857142,-22.323592302209548
5,34,445,5.553,2018,358,4.229,-87,-1.3239999999999998,-19.550561797752806,-23.842967765171977
5,35,530,6.87,2018,498,6.817,-32,-0.052999999999999936,-6.037735849056604,-0.7714701601164474
5,36,484,6.601,2018,307,4.11,-177,-2.4909999999999997,-36.570247933884296,-37.73670655961217
5,37,574,7.16,2018,331,4.111,-243,-3.0490000000000004,-42.33449477351917,-42.58379888268157
5,38,494,7.642,2018,554,7.936,60,0.2939999999999996,12.145748987854251,3.8471604292070083
5,39,516,7.069,2018,328,4.574,-188,-2.495,-36.434108527131784,-35.29494978073278
5,40,458,6.112,2018,428,6.06,-30,-0.05200000000000049,-6.550218340611353,-0.8507853403141441
5,41,726,10.059,2018,555,7.237,-171,-2.821999999999999,-23.553719008264462,-28.054478576399237
5,42,234,2.908,2018,231,2.942,-3,0.03400000000000025,-1.282051282051282,1.169188445667134
5,43,620,7.671,2018,582,7.673,-38,0.0019999999999997797,-6.129032258064516,0.026072220049534342
5,44,461,5.934,2018,259,3.342,-202,-2.592,-43.817787418655094,-43.68048533872599
5,45,559,6.776,2018,532,6.773,-27,-0.0030000000000001137,-4.83005366726297,-0.044273907910273226
5,46,358,5.148,2018,378,5.335,20,0.18700000000000028,5.58659217877095,3.6324786324786382
5,47,137,1.67,2018,239,2.617,102,0.9470000000000001,74.45255474452554,56.70658682634732
5,48,355,4.642,2018,167,2.044,-188,-2.5980000000000003,-52.95774647887323,-55.967255493321844
5,49,403,6.323,2018,389,6.247,-14,-0.07600000000000051,-3.4739454094292808,-1.201961094417215
5,50,581,7.259,2018,419,5.669,-162,-1.5900000000000007,-27.882960413080895,-21.90384350461497
6,1,252,2.861,2018,182,2.466,-70,-0.395,-27.77777777777778,-13.806361412093674
6,2,784,10.082,2018,695,9.693,-89,-0.3890000000000011,-11.35204081632653,-3.8583614362229826
6,3,602,8.001,2018,516,7.296,-86,-0.7049999999999992,-14.285714285714285,-8.811398575178094
6,4,455,4.421,2018,361,4.477,-94,0.05600000000000005,-20.659340659340657,1.2666817462112654
6,5,638,8.327,2018,447,5.83,-191,-2.497,-29.93730407523511,-29.98678996036988
6,6,0,0.0,2018,0,0.0,0,0.0,,
6,7,506,6.615,2018,503,6.911,-3,0.2959999999999994,-0.592885375494071,4.4746787603930365
6,8,491,6.667,2018,462,6.645,-29,-0.02200000000000024,-5.906313645621181,-0.32998350082496236
6,9,606,8.281,2018,491,7.018,-115,-1.2630000000000008,-18.976897689768975,-15.251781185847129
6,10,779,11.545,2018,733,11.666,-46,0.12100000000000044,-5.905006418485238,1.0480727587700343
6,11,275,3.045,2018,232,2.951,-43,-0.09399999999999986,-15.636363636363637,-3.087027914614117
6,12,543,6.889,2018,661,8.938,118,2.0490000000000004,21.731123388581953,29.743068660182903
6,13,150,1.335,2018,128,1.372,-22,0.037000000000000144,-14.666666666666666,2.7715355805243553
6,14,790,11.529,2018,749,11.649,-41,0.11999999999999922,-5.189873417721519,1.0408534998698866
6,15,483,6.06,2018,435,6.078,-48,0.018000000000000682,-9.937888198757763,0.2970297029703083
6,16,878,11.235,2018,735,10.466,-143,-0.7690000000000001,-16.287015945330296,-6.844681797952827
6,17,607,7.775,2018,631,8.267,24,0.4919999999999991,3.9538714991762767,6.3279742765273195
6,18,611,8.077,2018,589,6.997,-22,-1.08,-3.600654664484452,-13.371301225702615
6,19,238,2.938,2018,214,2.813,-24,-0.125,-10.084033613445378,-4.2545949625595645
6,20,106,0.802,2018,103,0.861,-3,0.05899999999999994,-2.8301886792452833,7.356608478802985
6,21,141,1.679,2018,125,1.67,-16,-0.009000000000000119,-11.347517730496454,-0.5360333531864275
6,22,411,4.882,2018,381,4.85,-30,-0.03200000000000003,-7.2992700729927,-0.6554690700532575
6,23,277,3.447,2018,255,3.6,-22,0.15300000000000002,-7.9422382671480145,4.438642297650131
6,24,803,12.517,2018,644,10.6,-159,-1.9169999999999998,-19.80074719800747,-15.31517136694096
6,25,613,7.886,2018,583,8.026,-30,0.13999999999999968,-4.893964110929853,1.7752979964494
6,26,616,8.562,2018,493,7.311,-123,-1.2509999999999994,-19.967532467532468,-14.61107217939733
6,27,258,3.259,2018,252,3.241,-6,-0.017999999999999794,-2.3255813953488373,-0.5523166615526172
6,28,623,8.246,2018,604,8.407,-19,0.1609999999999996,-3.0497592295345104,1.9524617996604363
6,29,638,8.615,2018,574,8.539,-64,-0.07600000000000051,-10.031347962382444,-0.8821822402785898
6,30,325,3.502,2018,280,3.389,-45,-0.11299999999999999,-13.846153846153847,-3.2267275842375787
6,31,229,2.82,2018,201,2.794,-28,-0.0259999999999998,-12.22707423580786,-0.9219858156028299
6,32,771,11.648,2018,655,10.339,-116,-1.3089999999999993,-15.045395590142672,-11.237980769230765
